daten,ym,llp_bk_shock
01jan1950,1950m1,.0089125
,1950m2,4.58e-10
,1950m3,2.97e-10
01apr1950,1950m4,.0078153
,1950m5,1.29e-10
,1950m6,3.57e-10
01jul1950,1950m7,.0036062
,1950m8,7.95e-10
,1950m9,2.56e-10
01oct1950,1950m10,.000789
,1950m11,-4.46e-10
,1950m12,-3.80e-10
01jan1951,1951m1,-.0005634
,1951m2,3.25e-10
,1951m3,-1.92e-10
01apr1951,1951m4,-.0008559
,1951m5,1.91e-10
,1951m6,1.15e-10
01jul1951,1951m7,-.000892
,1951m8,-1.12e-10
,1951m9,-4.15e-10
01oct1951,1951m10,-.0017706
,1951m11,-2.23e-10
,1951m12,-1.30e-10
01jan1952,1952m1,-.0031359
,1952m2,-7.49e-11
,1952m3,-1.13e-10
01apr1952,1952m4,-.003727
,1952m5,-1.20e-11
,1952m6,1.36e-11
01jul1952,1952m7,-.0022867
,1952m8,3.26e-13
,1952m9,1.10e-11
01oct1952,1952m10,.0002021
,1952m11,5.36e-11
,1952m12,2.31e-11
01jan1953,1953m1,.0021775
,1953m2,-6.28e-12
,1953m3,-2.27e-12
01apr1953,1953m4,.0011212
,1953m5,7.59e-11
,1953m6,-6.12e-11
01jul1953,1953m7,-.0027115
,1953m8,-6.44e-12
,1953m9,-6.35e-12
01oct1953,1953m10,-.0061301
,1953m11,-2.08e-10
,1953m12,2.17e-10
01jan1954,1954m1,-.0056125
,1954m2,4.27e-10
,1954m3,1.74e-11
01apr1954,1954m4,-.0000397
,1954m5,3.20e-10
,1954m6,3.92e-11
01jul1954,1954m7,.0078317
,1954m8,-7.63e-11
,1954m9,-6.18e-11
01oct1954,1954m10,.0123813
,1954m11,-2.38e-10
,1954m12,-5.43e-11
01jan1955,1955m1,.011137
,1955m2,-6.37e-10
,1955m3,-6.18e-10
01apr1955,1955m4,.0048897
,1955m5,3.84e-10
,1955m6,-9.21e-11
01jul1955,1955m7,-.0035434
,1955m8,-3.64e-10
,1955m9,3.20e-10
